time,xaxis,yaxis,zaxis,TgF
0.002497396,0.9482,0.257,0.1121,0.989
0.002741927,0.9599,0.2598,0.0999,0.999
0.002851927,0.9609,0.2642,0.1014,1.002
0.002960938,0.9579,0.2579,0.1096,0.998
0.003035365,0.955,0.2633,0.0945,0.995
0.003111354,0.9584,0.2584,0.0882,0.997
0.003177136,0.9711,0.2579,0.0892,1.009
0.003249688,0.9751,0.2637,0.0857,1.014
0.003316354,0.9609,0.2545,0.1019,0.999
0.003411719,0.9643,0.2448,0.0789,0.998
0.004817865,0.9667,0.2501,0.0887,1.003
0.007378334,0.9736,0.2584,0.1024,1.012
0.011007241,0.9751,0.2598,0.1014,1.014
0.012351512,0.9697,0.254,0.1033,1.008
0.015549116,0.9638,0.254,0.1082,1.003
0.018040627,0.9604,0.254,0.1014,0.999
0.020715158,0.9677,0.2506,0.0975,1.004
0.023080158,0.9682,0.2516,0.1004,1.005
0.025763388,0.9672,0.2526,0.1053,1.005
0.027637294,0.9599,0.2496,0.1028,0.997
0.030248232,0.9614,0.2511,0.0994,0.999
0.032649847,0.9711,0.2477,0.1009,1.007
0.035451983,0.9741,0.2487,0.0975,1.01
0.037792035,0.9746,0.2487,0.0896,1.01
0.04031365,0.9809,0.2491,0.0911,1.016
0.042694587,0.9804,0.2545,0.0921,1.017
0.045127556,0.9829,0.254,0.0882,1.019
0.047909067,0.9931,0.2593,0.0731,1.029
0.05032339,0.9858,0.256,0.0736,1.021
0.052769536,0.9824,0.2526,0.0692,1.017
0.055448078,0.9751,0.2506,0.0677,1.009
0.058560214,0.9755,0.2531,0.0736,1.011
0.061203756,0.9452,0.2287,0.0852,0.976
0.063703808,0.867,0.1855,0.0736,0.89
0.066105944,0.9873,0.2914,0.0409,1.03
0.068179069,1.0313,0.3123,0.0857,1.081
0.070594226,1.0323,0.3007,0.115,1.081
0.073007143,0.9975,0.2725,0.1053,1.039
0.075988601,0.9799,0.2589,0.0828,1.017
0.078341101,0.9506,0.2361,0.0838,0.983
0.080894539,0.935,0.221,0.0882,0.965
0.083178133,0.9589,0.2317,0.0731,0.989
0.085686415,1.0073,0.2331,0.0491,1.035
0.088407092,0.9951,0.238,0.139,1.033
0.091449488,0.976,0.2531,0.1643,1.022
0.093626936,0.9487,0.2633,0.137,0.994
0.095866312,0.934,0.2535,0.1253,0.976
0.098990791,0.9403,0.2375,0.114,0.977
0.101539385,0.9389,0.2278,0.1263,0.974
0.104005167,0.9359,0.2215,0.1433,0.972
0.10656824,0.9379,0.2307,0.1453,0.977
0.108477407,0.9306,0.2351,0.1501,0.971
0.111127511,0.933,0.237,0.1541,0.975
0.113864803,0.9242,0.2428,0.1575,0.968
0.116672147,0.9193,0.2394,0.1789,0.967
0.118655845,0.9056,0.2366,0.1858,0.954
0.121274543,0.8949,0.2317,0.1892,0.944
0.124117512,0.8895,0.2287,0.2014,0.94
0.126237825,0.8783,0.2331,0.2121,0.933
0.128937409,0.8753,0.2331,0.2204,0.932
0.131457982,0.8734,0.2409,0.2317,0.935
0.134094128,0.8679,0.2399,0.2428,0.933
0.136978191,0.8753,0.2399,0.2472,0.941
0.141007358,0.8763,0.2458,0.2366,0.94
0.14212267,0.8763,0.2491,0.2361,0.941
0.144747046,0.8846,0.2575,0.2287,0.949
0.147091525,0.8866,0.2637,0.2141,0.949
0.148938608,0.889,0.2705,0.2097,0.953
0.151494025,0.888,0.2725,0.1936,0.949
0.15414939,0.8743,0.2735,0.1921,0.936
0.157220953,0.8822,0.2842,0.1712,0.942
