time,xaxis,yaxis,zaxis
0.699042,0.24,-0.07,-0.12
0.699682,0.24,-0.1,-0.14
0.699834,0.24,-0.11,-0.15
0.699973,0.25,-0.11,-0.16
0.701624,0.24,-0.12,-0.17
0.704049,0.22,-0.15,-0.18
0.70759,0.2,-0.16,-0.19
0.710475,0.18,-0.16,-0.19
0.712417,0.15,-0.17,-0.18
0.714979,0.12,-0.16,-0.17
0.717484,0.09,-0.15,-0.15
0.719328,0.06,-0.14,-0.14
0.721804,0.03,-0.12,-0.12
0.7243,0,-0.1,-0.09
0.727536,-0.03,-0.08,-0.07
0.730283,-0.06,-0.06,-0.06
0.732946,-0.1,-0.03,-0.05
0.735358,-0.13,-0.01,-0.04
0.737876,-0.15,0.02,-0.04
0.740213,-0.17,0.04,-0.02
0.742282,-0.18,0.06,-0.01
0.744554,-0.2,0.08,0
0.747788,-0.2,0.09,0
0.750335,-0.2,0.1,0
0.752856,-0.2,0.11,0
0.755495,-0.2,0.12,0
0.758,-0.19,0.13,0
0.759922,-0.18,0.13,0
0.762315,-0.17,0.14,-0.01
0.764821,-0.15,0.14,-0.01
0.767667,-0.13,0.14,0
0.770479,-0.11,0.13,0
0.773594,-0.09,0.12,0
0.775594,-0.07,0.12,-0.01
0.778182,-0.06,0.12,-0.01
0.780034,-0.04,0.12,-0.02
0.782546,-0.03,0.13,-0.02
0.785041,-0.03,0.14,-0.02
0.78816,-0.03,0.15,-0.01
0.790681,-0.02,0.15,-0.01
0.793287,-0.02,0.16,-0.01
0.795852,-0.02,0.17,0
0.798359,-0.02,0.18,0.01
0.800195,-0.02,0.19,0.01
0.802724,-0.02,0.21,0
0.805414,-0.03,0.23,-0.01
0.807819,-0.04,0.26,-0.01
0.811048,-0.06,0.27,-0.01
0.813532,-0.07,0.29,-0.01
0.816069,-0.08,0.3,-0.01
0.818678,-0.1,0.32,-0.01
0.820437,-0.11,0.33,-0.01
0.823305,-0.11,0.33,0
0.826381,-0.12,0.34,0
0.82887,-0.14,0.35,0
0.831289,-0.14,0.35,0
0.83378,-0.15,0.35,0.01
0.836282,-0.16,0.36,0.01
0.838468,-0.16,0.36,0.01
0.840671,-0.17,0.36,0.01
0.843417,-0.17,0.36,0.01
0.845786,-0.17,0.36,0.01
0.848953,-0.18,0.36,0.01
0.851477,-0.18,0.35,0.01
0.854549,-0.17,0.34,0.01
0.856535,-0.18,0.34,0.01
0.85888,-0.18,0.32,0.01
0.860925,-0.17,0.31,0.01
0.863437,-0.18,0.3,0.02
0.866585,-0.17,0.28,0.02
0.86875,-0.17,0.26,0.02
0.871057,-0.17,0.24,0.02
0.873568,-0.16,0.22,0.03
0.876885,-0.15,0.2,0.03
0.879138,-0.15,0.18,0.03
0.881233,-0.14,0.16,0.04
0.883752,-0.14,0.14,0.03
0.8862,-0.13,0.12,0.04
0.889575,-0.12,0.11,0.06
0.892116,-0.11,0.1,0.07
0.894673,-0.1,0.09,0.08
0.897103,-0.08,0.07,0.1
0.899045,-0.07,0.05,0.1
0.901387,-0.06,0.04,0.1
0.903999,-0.06,0.06,0.11
0.907271,-0.07,0.08,0.11
0.909851,-0.09,0.11,0.12
0.912329,-0.11,0.14,0.12
0.91486,-0.14,0.17,0.12
0.917352,-0.17,0.19,0.12
0.921431,-0.19,0.2,0.12
0.921688,-0.21,0.22,0.13
0.924286,-0.21,0.23,0.15
0.927662,-0.22,0.23,0.16
0.930004,-0.23,0.23,0.16
0.932608,-0.25,0.22,0.15
0.935039,-0.27,0.21,0.12
0.93715,-0.3,0.2,0.1
0.939521,-0.32,0.18,0.08
0.941943,-0.34,0.16,0.06
0.944523,-0.35,0.14,0.04
0.947252,-0.36,0.13,0.01
0.950278,-0.37,0.11,0
0.952792,-0.37,0.08,-0.03
0.955302,-0.38,0.05,-0.05
0.957951,-0.38,0.03,-0.08
0.959781,-0.37,-0.01,-0.1
0.962135,-0.37,-0.04,-0.12
0.964682,-0.37,-0.07,-0.14
0.96755,-0.37,-0.1,-0.16
0.970557,-0.36,-0.14,-0.18
0.973099,-0.36,-0.18,-0.2
0.975611,-0.35,-0.24,-0.21
0.978117,-0.33,-0.3,-0.2
0.979829,-0.3,-0.39,-0.21
0.982389,-0.27,-0.48,-0.22
0.985378,-0.24,-0.57,-0.25
0.988332,-0.19,-0.68,-0.29
0.990757,-0.15,-0.79,-0.32
0.993247,-0.09,-0.93,-0.35
0.995812,-0.01,-1.06,-0.37
0.99836,0.07,-1.2,-0.39
1.000078,0.17,-1.34,-0.42
1.002628,0.27,-1.5,-0.45
