time,xaxis,yaxis,zaxis,State
0.83959,0.13,-0.46,0.03,
0.840125,0.12,-0.46,0.05,
0.840276,0.12,-0.46,0.06,
0.840431,0.11,-0.46,0.06,
0.84262,0.11,-0.46,0.07,
0.845595,0.11,-0.44,0.08,
0.8484,0.1,-0.41,0.09,
0.850889,0.1,-0.38,0.1,
0.853359,0.11,-0.35,0.1,
0.855851,0.11,-0.32,0.11,
0.858732,0.1,-0.3,0.1,
0.860378,0.1,-0.29,0.08,
0.862954,0.09,-0.29,0.07,
0.865968,0.07,-0.29,0.05,
0.868575,0.05,-0.29,0.04,
0.871288,0.02,-0.28,0.03,
0.873595,-0.01,-0.27,0.02,
0.876242,-0.04,-0.25,0.02,
0.878025,-0.07,-0.22,0.02,
0.880809,-0.1,-0.18,0.02,
0.883337,-0.12,-0.13,0.02,
0.885559,-0.15,-0.07,0.01,
0.888862,-0.16,-0.02,-0.01,
0.891404,-0.18,0.04,-0.03,
0.893792,-0.19,0.09,-0.05,
0.896401,-0.19,0.13,-0.08,
0.898237,-0.19,0.18,-0.11,
0.900912,-0.19,0.22,-0.14,
0.903647,-0.18,0.28,-0.17,
0.906482,-0.17,0.34,-0.19,
0.908975,-0.15,0.39,-0.21,
0.911294,-0.13,0.43,-0.22,
0.914202,-0.11,0.47,-0.22,
0.916652,-0.09,0.49,-0.2,
0.918801,-0.07,0.48,-0.17,
0.921122,-0.05,0.45,-0.12,
0.925097,-0.04,0.4,-0.08,
0.926264,-0.03,0.34,-0.02,
0.929324,-0.03,0.25,0.03,
0.931794,-0.04,0.17,0.07,
0.93443,-0.05,0.09,0.1,
0.936971,-0.07,0.01,0.12,
0.939611,-0.09,-0.04,0.13,
0.941458,-0.11,-0.07,0.13,
0.944031,-0.12,-0.09,0.12,
0.94705,-0.13,-0.09,0.11,
0.949568,-0.13,-0.07,0.1,
0.952108,-0.13,-0.04,0.09,
0.954527,-0.12,-0.02,0.08,
0.957117,-0.11,0.01,0.07,
0.958985,-0.1,0.03,0.06,
0.961739,-0.09,0.06,0.05,
0.965439,-0.08,0.08,0.05,
0.966582,-0.07,0.09,0.05,
0.969707,-0.06,0.11,0.05,
0.973495,-0.04,0.12,0.05,
0.974789,-0.03,0.13,0.04,
0.977462,-0.02,0.13,0.04,
0.979277,-0.01,0.12,0.03,
0.981823,0,0.11,0.03,
