time,Azimuth,Pitch,Roll
0.065942,-51.297,-87.088,-68.714
0.167309,-19.69,-87.762,-38.032
0.16758,-19.69,-87.762,-38.032
0.265056,-20.072,-87.762,-38.032
0.369384,-32.566,-87.932,-50.319
0.369498,-32.566,-87.932,-50.319
0.465561,-32.307,-87.932,-50.319
0.571234,-23.642,-87.916,-41.824
0.571374,-23.642,-87.916,-41.824
0.663618,-23.34,-87.916,-41.824
0.774566,-148.885,-85.686,-166.535
0.774831,-148.885,-85.686,-166.535
0.862966,-148.887,-85.686,-166.535
0.976547,-159.258,-79.82,-176.138
0.976776,-159.258,-79.82,-176.138
1.062717,-158.698,-79.82,-176.138
1.179128,-163.033,-70.599,-179.494
1.179341,-163.033,-70.599,-179.494
1.262072,-163.188,-70.599,-179.494
1.382233,-163.839,-72.64,179.383
1.382494,-163.839,-72.64,179.383
1.462602,-164.188,-72.64,179.383
1.588312,-162.841,-74.694,-179.333
1.588823,-162.841,-74.694,-179.333
1.6638,-163.05,-74.694,-179.333
1.787506,-164.281,-74.516,179.23
1.787943,-164.281,-74.516,179.23
1.864246,-163.612,-74.516,179.23
1.990975,-163.439,-74.077,179.51
1.991444,-163.439,-74.077,179.51
2.061283,-163.575,-74.077,179.51
2.192087,-163.378,-73.623,179.824
2.192484,-163.378,-73.623,179.824
2.262333,-163.154,-73.623,179.824
2.394671,-163.004,-73.444,-179.963
2.395072,-163.004,-73.444,-179.963
2.462267,-163.261,-73.444,-179.963
2.59962,-163.636,-73.141,179.632
2.600035,-163.636,-73.141,179.632
2.661133,-163.53,-73.141,179.632
2.801877,-163.746,-73.073,179.38
2.802425,-163.746,-73.073,179.38
2.861534,-163.647,-73.073,179.38
3.001447,-164.129,-73.061,178.795
3.001917,-164.129,-73.061,178.795
3.059595,-164.404,-73.061,178.795
3.204321,-164.238,-73.018,179.005
3.204678,-164.238,-73.018,179.005
3.260864,-164.106,-73.018,179.005
3.408058,-164.106,-73.018,179.005
3.409075,-164.37,-73.133,178.664
3.459735,-164.59,-73.133,178.664
3.610841,-164.807,-73.695,178.31
3.611559,-164.807,-73.695,178.31
3.660451,-165.017,-73.695,178.31
3.812567,-165.111,-75.184,177.963
3.813027,-165.111,-75.184,177.963
3.859731,-165.008,-75.184,177.963
4.015025,-165.076,-77.205,177.567
4.015499,-165.076,-77.205,177.567
4.058352,-165.639,-77.205,177.567
4.218813,-166.298,-79.582,176.455
4.219272,-166.298,-79.582,176.455
4.257254,-166.484,-79.582,176.455
4.420497,-167.068,-81.329,175.557
4.421025,-167.068,-81.329,175.557
4.457724,-167.335,-81.329,175.557
4.622546,-168.408,-83.352,174.123
4.623,-168.408,-83.352,174.123
4.657971,-168.925,-83.352,174.123
4.823361,-173.744,-85.204,168.805
