time,Azimuth:,Pitch:,Roll:
0.058345,-59.294,2.392,-94.084
0.058532,-59.294,2.392,-94.084
0.108356,-60.377,2.392,-94.084
0.261387,-60.104,2.43,-93.785
0.261541,-60.104,2.43,-93.785
0.308017,-59.086,2.43,-93.785
0.463749,-59.429,2.259,-94.366
0.463873,-59.429,2.259,-94.366
0.507571,-59.267,2.259,-94.366
0.666082,-59.721,2.342,-94.597
0.666192,-59.721,2.342,-94.597
0.707416,-59.956,2.342,-94.597
0.868501,-60.006,2.244,-94.815
0.868674,-60.006,2.244,-94.815
0.907237,-59.164,2.244,-94.815
1.071392,-59.545,2.38,-94.885
1.071513,-59.545,2.38,-94.885
1.107087,-57.084,2.38,-94.885
1.27391,-56.16,1.982,-94.855
1.274058,-56.16,1.982,-94.855
1.307074,-57.129,1.982,-94.855
1.475854,-56.93,2.013,-94.666
1.475995,-56.93,2.013,-94.666
1.506678,-56.607,2.013,-94.666
1.678778,-56.607,2.013,-94.666
1.679441,-54.857,1.53,-94.218
1.707136,-56.022,1.53,-94.218
1.881434,-54.84,1.49,-93.502
1.881636,-54.84,1.49,-93.502
1.907179,-55.992,1.49,-93.502
2.084677,-55.992,1.49,-93.502
2.085383,-54.337,1.065,-93.039
2.106441,-57.191,1.065,-93.039
2.286181,-54.917,0.663,-92.076
2.286416,-54.917,0.663,-92.076
2.306423,-57.154,0.663,-92.076
2.490363,-57.154,0.663,-92.076
2.491304,-54.683,0.285,-90.96
2.506124,-57.783,0.285,-90.96
2.691705,-55.153,-0.2,-89.825
2.691932,-55.153,-0.2,-89.825
2.705421,-57.008,-0.2,-89.825
2.895785,-55.462,-0.283,-88.891
2.895997,-55.462,-0.283,-88.891
2.905322,-57.302,-0.283,-88.891
3.096113,-55.859,-0.302,-87.931
3.096319,-55.859,-0.302,-87.931
3.105043,-57.791,-0.302,-87.931
3.298774,-55.76,-0.397,-86.666
3.299,-55.76,-0.397,-86.666
3.304716,-57.531,-0.397,-86.666
3.500715,-54.68,-0.905,-85.496
3.500923,-54.68,-0.905,-85.496
3.504357,-57.756,-0.905,-85.496
3.705629,-55.251,-0.895,-83.816
3.705945,-55.251,-0.895,-83.816
3.706228,-58.956,-0.895,-83.816
3.907175,-57.728,-0.895,-83.816
3.907656,-57.696,-0.645,-83.401
3.907854,-57.696,-0.645,-83.401
4.105758,-60.627,-0.645,-83.401
4.108295,-60.186,-0.274,-82.4
4.108509,-60.186,-0.274,-82.4
4.304612,-62.34,-0.274,-82.4
4.310547,-61.007,-0.456,-81.623
4.310754,-61.007,-0.456,-81.623
4.50465,-61.538,-0.456,-81.623
4.513557,-59.426,-0.747,-80.389
4.513774,-59.426,-0.747,-80.389
4.70413,-62.21,-0.747,-80.389
4.715442,-60.14,-0.719,-78.613
4.715658,-60.14,-0.719,-78.613
4.905166,-61.632,-0.719,-78.613
4.917821,-59.814,-1.15,-77.891
4.918013,-59.814,-1.15,-77.891
5.104446,-62.07,-1.15,-77.891
5.120177,-59.017,-1.649,-76.319
5.120488,-59.017,-1.649,-76.319
5.303406,-61.593,-1.649,-76.319
5.322656,-59.117,-1.899,-74.788
5.322866,-59.117,-1.899,-74.788
5.503181,-63.753,-1.899,-74.788
5.524577,-60.694,-1.977,-72.25
5.524761,-60.694,-1.977,-72.25
5.703668,-63.257,-1.977,-72.25
5.727683,-61.338,-2.452,-71.449
5.727881,-61.338,-2.452,-71.449
5.903313,-63.51,-2.452,-71.449
5.930182,-61.099,-2.649,-69.818
5.930376,-61.099,-2.649,-69.818
6.103156,-65.536,-2.649,-69.818
6.132288,-63.07,-3.182,-68.461
6.132504,-63.07,-3.182,-68.461
6.302466,-66.569,-3.182,-68.461
6.335044,-63.129,-3.962,-66.451
6.33523,-63.129,-3.962,-66.451
6.502097,-65.451,-3.962,-66.451
6.53721,-62.79,-4.305,-64.509
6.53739,-62.79,-4.305,-64.509
6.701366,-65.33,-4.305,-64.509
6.739303,-64.057,-4.631,-63.87
6.739479,-64.057,-4.631,-63.87
6.901869,-65.132,-4.631,-63.87
6.943269,-63.269,-4.575,-61.9
6.943479,-63.269,-4.575,-61.9
7.101502,-65.793,-4.575,-61.9
7.145677,-64.039,-4.868,-60.708
7.145907,-64.039,-4.868,-60.708
7.301878,-64.374,-4.868,-60.708
7.347527,-62.35,-5.265,-59.541
7.34776,-62.35,-5.265,-59.541
7.501371,-65.022,-5.265,-59.541
7.550093,-62.787,-5.597,-58.005
7.550294,-62.787,-5.597,-58.005
7.70154,-65.325,-5.597,-58.005
7.752597,-63.239,-6.033,-56.86
7.752803,-63.239,-6.033,-56.86
7.900804,-65.05,-6.033,-56.86
7.95469,-63.056,-6.616,-56.03
7.954912,-63.056,-6.616,-56.03
8.10043,-62.876,-6.616,-56.03
8.157069,-60.384,-7.303,-55.154
8.157253,-60.384,-7.303,-55.154
8.300055,-62.102,-7.303,-55.154
8.360112,-59.794,-7.69,-53.926
8.360333,-59.794,-7.69,-53.926
8.499962,-61.056,-7.69,-53.926
8.562099,-59.164,-8.076,-53.054
8.562324,-59.164,-8.076,-53.054
8.699557,-62.142,-8.076,-53.054
8.765534,-59.203,-8.895,-52.014
8.765753,-59.203,-8.895,-52.014
8.90012,-63.952,-8.895,-52.014
8.968151,-60.996,-9.418,-50.437
8.968389,-60.996,-9.418,-50.437
9.099436,-60.69,-9.418,-50.437
9.170308,-58.87,-9.546,-49.214
9.17268,-58.87,-9.546,-49.214
9.299331,-60.105,-9.546,-49.214
9.372843,-57.85,-9.828,-47.904
9.373165,-57.85,-9.828,-47.904
9.499384,-61.005,-9.828,-47.904
9.575655,-59.381,-10.111,-47.079
9.57591,-59.381,-10.111,-47.079
9.699457,-60.945,-10.111,-47.079
9.781728,-58.809,-10.416,-45.89
9.782075,-58.809,-10.416,-45.89
9.900699,-60.898,-10.416,-45.89
9.979974,-58.182,-11.25,-45.05
9.980181,-58.182,-11.25,-45.05
10.099297,-62.817,-11.25,-45.05
10.182794,-59.791,-12.271,-44.264
10.183094,-59.791,-12.271,-44.264
10.300484,-62.165,-12.271,-44.264
10.387637,-58.64,-13.125,-42.831
10.387895,-58.64,-13.125,-42.831
10.498405,-60.983,-13.125,-42.831
10.588268,-58.568,-13.789,-41.982
10.588506,-58.568,-13.789,-41.982
10.698393,-60.015,-13.789,-41.982
10.790279,-58.075,-14.056,-40.898
10.790529,-58.075,-14.056,-40.898
10.899858,-58.176,-14.056,-40.898
10.993925,-57.177,-14.133,-40.271
10.994229,-57.177,-14.133,-40.271
11.099244,-59.462,-14.133,-40.271
11.196245,-58.387,-14.117,-39.444
11.196635,-58.387,-14.117,-39.444
11.298059,-59.541,-14.117,-39.444
11.399796,-58.194,-14.711,-39.26
11.400176,-58.194,-14.711,-39.26
11.498502,-59.236,-14.711,-39.26
11.6004,-57.795,-14.959,-38.531
11.600699,-57.795,-14.959,-38.531
11.697275,-58.791,-14.959,-38.531
11.802141,-57.958,-14.921,-37.866
11.80233,-57.958,-14.921,-37.866
11.897739,-59.106,-14.921,-37.866
12.004399,-58.659,-15.189,-37.9
12.004605,-58.659,-15.189,-37.9
12.096833,-59.119,-15.189,-37.9
12.206399,-58.507,-15.175,-37.426
12.20677,-58.507,-15.175,-37.426
12.297134,-58.391,-15.175,-37.426
12.410009,-58.275,-15.037,-37.154
12.410254,-58.275,-15.037,-37.154
12.496303,-59.084,-15.037,-37.154
12.612195,-58.605,-14.954,-36.678
12.612381,-58.605,-14.954,-36.678
12.695977,-58.063,-14.954,-36.678
12.813926,-57.606,-14.966,-36.36
12.814262,-57.606,-14.966,-36.36
12.896204,-57.101,-14.966,-36.36
13.016681,-56.531,-15.065,-36.069
13.016906,-56.531,-15.065,-36.069
13.096071,-57.974,-15.065,-36.069
13.218961,-57.009,-15.199,-35.531
13.21917,-57.009,-15.199,-35.531
13.295629,-57.631,-15.199,-35.531
13.421932,-56.918,-15.315,-35.158
13.422477,-56.918,-15.315,-35.158
13.49557,-57.733,-15.315,-35.158
13.624603,-57.305,-15.376,-34.922
13.624814,-57.305,-15.376,-34.922
13.69533,-58.145,-15.376,-34.922
13.827459,-57.713,-15.32,-34.526
13.827652,-57.713,-15.32,-34.526
13.89507,-57.548,-15.32,-34.526
14.029778,-56.608,-15.574,-34.162
14.030019,-56.608,-15.574,-34.162
14.094933,-57.218,-15.574,-34.162
14.23214,-56.701,-15.621,-33.848
14.232345,-56.701,-15.621,-33.848
14.294828,-57.089,-15.621,-33.848
14.434704,-56.037,-15.658,-33.134
14.434908,-56.037,-15.658,-33.134
14.495029,-56.757,-15.658,-33.134
14.636479,-56.177,-15.699,-32.766
14.636717,-56.177,-15.699,-32.766
14.694201,-56.096,-15.699,-32.766
14.838623,-56.442,-15.444,-32.698
14.838843,-56.442,-15.444,-32.698
14.894241,-56.805,-15.444,-32.698
15.041554,-55.527,-15.685,-32.063
15.041794,-55.527,-15.685,-32.063
15.093697,-56.164,-15.685,-32.063
15.244375,-55.293,-15.685,-31.428
15.244589,-55.293,-15.685,-31.428
15.294014,-56.764,-15.685,-31.428
15.447234,-55.439,-15.889,-30.712
15.44744,-55.439,-15.889,-30.712
15.493688,-54.991,-15.889,-30.712
15.651015,-53.982,-16.029,-30.161
15.651248,-53.982,-16.029,-30.161
15.693843,-53.897,-16.029,-30.161
15.852585,-53.031,-16.176,-29.716
15.852812,-53.031,-16.176,-29.716
15.894042,-54.439,-16.176,-29.716
16.055591,-53.585,-16.125,-29.051
