time,Azimuth,Pitch,Roll
0.081946,-102.858,-0.476,-115.812
0.082399,-103.199,-0.296,-115.973
0.082593,-103.199,-0.296,-115.973
0.280411,-100.99,-0.296,-115.973
0.283342,-100.32,-0.776,-114.968
0.283512,-100.32,-0.776,-114.968
0.47895,-100.301,-0.776,-114.968
0.486303,-100.674,-0.562,-115.247
0.486529,-100.674,-0.562,-115.247
0.678271,-100.631,-0.562,-115.247
0.688245,-100.704,-0.686,-114.395
0.68846,-100.704,-0.686,-114.395
0.876385,-101.341,-0.686,-114.395
0.890711,-101.108,-0.669,-115.016
0.890922,-101.108,-0.669,-115.016
1.075066,-101.195,-0.669,-115.016
1.093057,-100.969,-0.759,-115.055
1.0933,-100.969,-0.759,-115.055
1.273525,-102.101,-0.759,-115.055
1.296268,-101.567,-0.705,-116.487
1.296468,-101.567,-0.705,-116.487
1.472961,-102.472,-0.705,-116.487
1.499028,-102.322,-0.897,-115.897
1.49934,-102.322,-0.897,-115.897
1.671778,-101.972,-0.897,-115.897
1.701242,-101.358,-1.083,-116.333
1.701571,-101.358,-1.083,-116.333
1.870325,-100.503,-1.083,-116.333
1.904337,-100.503,-1.083,-116.333
1.905173,-100.524,-1.031,-116.576
2.068867,-101.377,-1.031,-116.576
2.105983,-101.451,-1.046,-116.328
2.10634,-101.451,-1.046,-116.328
2.268453,-101.411,-1.046,-116.328
2.309339,-101.411,-1.046,-116.328
2.310138,-101.725,-0.897,-116.372
2.466235,-102.093,-0.897,-116.372
2.511,-101.818,-1.004,-116.458
2.511332,-101.818,-1.004,-116.458
2.666113,-100.662,-1.004,-116.458
2.71333,-100.827,-0.941,-116.399
2.713688,-100.827,-0.941,-116.399
2.865486,-101.45,-0.941,-116.399
2.916494,-101.45,-0.941,-116.399
2.917118,-101.328,-1.046,-116.146
3.064049,-101.068,-1.046,-116.146
3.118469,-101.745,-1.039,-114.578
3.1189,-101.745,-1.039,-114.578
3.262273,-101.779,-1.039,-114.578
3.321184,-102.639,-0.927,-113.231
3.321529,-102.639,-0.927,-113.231
3.459543,-100.788,-0.927,-113.231
3.523711,-101.651,-0.835,-111.645
3.524054,-101.651,-0.835,-111.645
3.658377,-99.965,-0.835,-111.645
3.726034,-100.89,-0.681,-110.227
3.726428,-100.89,-0.681,-110.227
3.858638,-100.463,-0.681,-110.227
3.927592,-100.471,-0.892,-109.025
3.927942,-100.471,-0.892,-109.025
4.056456,-99.156,-0.892,-109.025
4.129628,-99.989,-0.748,-107.627
4.129904,-99.989,-0.748,-107.627
4.256932,-99.69,-0.748,-107.627
4.331766,-99.69,-0.748,-107.627
4.333104,-100.476,-0.619,-106.375
4.455118,-100.004,-0.619,-106.375
4.536023,-101.295,-0.277,-105.033
4.536405,-101.295,-0.277,-105.033
4.652848,-99.219,-0.277,-105.033
4.736838,-99.219,-0.277,-105.033
4.73825,-100.768,0.162,-103.534
4.851876,-99.729,0.162,-103.534
4.939936,-99.729,0.162,-103.534
4.941289,-101.086,0.432,-101.623
5.048737,-99.745,0.432,-101.623
5.142557,-100.092,0.245,-99.692
5.142946,-100.092,0.245,-99.692
5.247242,-98.927,0.245,-99.692
5.344896,-100.149,0.517,-98.063
5.345281,-100.149,0.517,-98.063
5.446645,-98.677,0.517,-98.063
5.546583,-99.609,0.694,-96.511
5.546788,-99.609,0.694,-96.511
5.644972,-99.903,0.694,-96.511
5.748825,-99.903,0.694,-96.511
5.750113,-100.509,0.601,-94.477
5.844614,-98.858,0.601,-94.477
5.951444,-99.501,0.61,-92.719
5.952103,-99.501,0.61,-92.719
6.04267,-98.205,0.61,-92.719
6.154268,-98.732,0.556,-90.809
6.154565,-98.732,0.556,-90.809
6.241392,-98.121,0.556,-90.809
6.356097,-98.121,0.556,-90.809
6.356786,-98.94,0.644,-88.947
6.438588,-99.333,0.644,-88.947
6.558475,-100.296,0.825,-87.506
