time,gFx,gFy,gFz,TgF
3.276078087,0.8758,0.4653,-0.0220,0.992
3.276650379,0.8792,0.4658,-0.0093,0.995
3.279071369,0.8718,0.4663,-0.0010,0.989
3.281898556,0.8655,0.4668,0.0107,0.983
3.284609078,0.8567,0.4687,0.0214,0.977
3.287226213,0.8542,0.4735,0.0273,0.977
3.289809911,0.8479,0.4770,0.0248,0.973
3.29276512,0.8508,0.4833,0.0273,0.979
3.294946943,0.8479,0.4930,0.0224,0.981
3.29673111,0.8479,0.4954,0.0224,0.982
3.299321631,0.8542,0.4940,0.0243,0.987
3.301872256,0.8552,0.4979,0.0126,0.990
3.306524861,0.8577,0.5008,0.0092,0.993
3.306952882,0.8665,0.4993,0.0122,1.000
3.309467257,0.8689,0.4959,0.0219,1.001
3.311959966,0.8728,0.5023,0.0175,1.007
3.314653195,0.8777,0.5013,0.0185,1.011
3.317043977,0.8748,0.4964,0.0136,1.006
3.319546112,0.8723,0.4998,0.0150,1.005
3.324701373,0.8699,0.5003,0.0141,1.004
3.32526205,0.8704,0.5008,0.0107,1.004
3.327883405,0.8699,0.5003,0.0043,1.004
3.330174134,0.8640,0.5008,0.0024,0.999
3.332727832,0.8557,0.5056,0.0053,0.994
3.334773458,0.8621,0.5037,-0.0010,0.998
3.337228145,0.8577,0.5027,-0.0059,0.994
3.339823458,0.8577,0.5027,-0.0030,0.994
3.342623823,0.8538,0.4988,-0.0015,0.989
3.344998979,0.8494,0.5008,0.0038,0.986
3.347473198,0.8547,0.4998,0.0048,0.990
3.349886063,0.8547,0.5037,0.0004,0.992
3.352395907,0.8538,0.5027,-0.0001,0.991
3.355038303,0.8562,0.4988,-0.0010,0.991
3.35771497,0.8572,0.5018,-0.0074,0.993
3.360066533,0.8606,0.5037,-0.0113,0.997
3.362588825,0.8586,0.5061,-0.0054,0.997
3.365641742,0.8611,0.5042,-0.0118,0.998
3.368222628,0.8674,0.5037,-0.0108,1.003
3.371135753,0.8679,0.5008,-0.0098,1.002
3.373277628,0.8670,0.5023,-0.0093,1.002
3.375323722,0.8704,0.5018,-0.0059,1.005
3.377713097,0.8640,0.4959,-0.0001,0.996
3.380173879,0.8626,0.4935,0.0019,0.994
3.383021067,0.8630,0.4896,0.0126,0.992
3.385383567,0.8645,0.4891,0.0063,0.993
3.387948098,0.8616,0.4881,0.0097,0.990
3.390375026,0.8572,0.4818,0.0053,0.983
3.39304638,0.8552,0.4842,0.0087,0.983
3.395551172,0.8577,0.4867,0.0038,0.986
3.39795711,0.8577,0.4857,0.0014,0.986
3.400790808,0.8606,0.4857,-0.0084,0.988
3.403895548,0.8728,0.4823,-0.0113,0.997
3.406567006,0.8718,0.4814,-0.0015,0.996
3.408858309,0.8645,0.4789,-0.0049,0.988
3.411215132,0.8645,0.4867,-0.0161,0.992
3.413768934,0.8655,0.4916,-0.0205,0.996
3.415615601,0.8591,0.4921,-0.0098,0.990
3.418125185,0.8567,0.4886,-0.0010,0.986
3.421071591,0.8591,0.4867,0.0014,0.987
3.423970289,0.8572,0.4852,0.0024,0.985
3.425882946,0.8586,0.4837,0.0043,0.986
3.428437946,0.8562,0.4877,-0.0025,0.985
3.43121503,0.8557,0.4881,0.0014,0.985
3.433924301,0.8606,0.4901,0.0024,0.990
3.437800551,0.8640,0.4969,0.0034,0.997
3.438502999,0.8586,0.4993,0.0068,0.993
3.441475239,0.8660,0.5008,0.0092,1.000
3.444379979,0.8596,0.5042,0.0082,0.997
3.44661649,0.8601,0.5076,0.0122,0.999
3.4492555,0.8645,0.5066,0.0112,1.002
3.451722063,0.8650,0.5046,0.0141,1.002
3.454320813,0.8635,0.5066,0.0102,1.001
3.456329043,0.8670,0.5090,0.0082,1.005
3.458822584,0.8728,0.5095,0.0087,1.011
3.461252376,0.8718,0.5120,0.0102,1.011
3.464346231,0.8674,0.5090,0.0131,1.006
3.466243939,0.8684,0.5066,0.0117,1.005
3.469266544,0.8674,0.5023,0.0107,1.002
3.471381596,0.8665,0.5003,0.0053,1.001
3.474605086,0.8684,0.5023,0.0004,1.003
3.476426284,0.8714,0.5023,0.0014,1.006
3.478817899,0.8694,0.4969,-0.0054,1.001
3.481854722,0.8674,0.4935,-0.0049,0.998
3.484455191,0.8699,0.4911,-0.0059,0.999
3.487054462,0.8679,0.4925,-0.0069,0.998
3.490605661,0.8718,0.4881,-0.0093,0.999
3.492373369,0.8738,0.4886,-0.0137,1.001
3.49465488,0.8733,0.4906,-0.0171,1.002
3.496528369,0.8758,0.4896,-0.0118,1.003
3.499250193,0.8709,0.4877,-0.0152,0.998
3.502009933,0.8723,0.4852,-0.0191,0.998
3.50486936,0.8714,0.4896,-0.0181,1.000
3.506927485,0.8714,0.4867,-0.0200,0.998
3.509345402,0.8753,0.4823,-0.0176,0.999
3.511971756,0.8748,0.4814,-0.0045,0.998
3.51466759,0.8704,0.4809,-0.0030,0.994
3.516821601,0.8679,0.4740,-0.0030,0.989
3.51942733,0.8670,0.4765,0.0019,0.989
3.52264431,0.8709,0.4765,0.0034,0.993
3.525289622,0.8635,0.4745,-0.0069,0.985
3.527797018,0.8684,0.4760,-0.0040,0.990
3.530119102,0.8743,0.4770,-0.0084,0.996
3.532552852,0.8714,0.4755,-0.0166,0.993
3.534777175,0.8743,0.4755,-0.0254,0.996
3.537220717,0.8792,0.4730,-0.0259,0.999
3.539798322,0.8875,0.4765,-0.0308,1.008
3.542533791,0.8880,0.4740,-0.0205,1.007
3.544783635,0.8909,0.4750,-0.0166,1.010
3.547167072,0.8919,0.4814,-0.0108,1.014
3.549825094,0.8919,0.4886,-0.0030,1.017
3.552459,0.8987,0.4930,-0.0010,1.025
3.55504999,0.8997,0.4974,0.0058,1.028
3.557376084,0.8997,0.4949,0.0043,1.027
3.559822595,0.9017,0.4998,0.0058,1.031
3.562473689,0.8973,0.5066,0.0082,1.030
3.565551137,0.8997,0.5120,0.0112,1.035
3.568712179,0.8919,0.5173,0.0185,1.031
3.570831919,0.8914,0.5217,0.0205,1.033
3.573350825,0.8865,0.5324,0.0180,1.034
3.575229575,0.8797,0.5309,0.0195,1.028
3.577726555,0.8753,0.5232,0.0170,1.020
3.580060305,0.8748,0.5110,0.0229,1.013
3.583716868,0.8753,0.5046,0.0268,1.011
3.585368222,0.8787,0.4979,0.0214,1.010
3.588039108,0.8831,0.4852,0.0200,1.008
3.590430618,0.8850,0.4828,0.0146,1.008
3.592733119,0.8855,0.4847,0.0024,1.010
3.595434681,0.8958,0.4692,-0.0112,1.011
3.59776614,0.9139,0.4619,-0.0074,1.024
3.600402911,0.9007,0.4677,-0.0117,1.015
3.603358641,0.8846,0.4697,-0.0210,1.002
3.60609812,0.8645,0.4648,-0.0323,0.982
3.608521401,0.8484,0.4697,-0.0313,0.970
3.611053173,0.8283,0.4901,-0.0293,0.963
3.613622131,0.8092,0.4949,-0.0147,0.949
3.616350309,0.7921,0.4901,-0.0005,0.931
3.618096663,0.7838,0.4765,0.0024,0.917
3.621134944,0.7730,0.4711,0.0078,0.905
3.623718747,0.7633,0.4575,0.0073,0.890
3.625624476,0.7642,0.4473,0.0146,0.886
3.628203174,0.7593,0.4386,0.0170,0.877
3.631163383,0.7447,0.4245,0.0234,0.857
3.633248019,0.7393,0.4133,0.0210,0.847
3.63601031,0.7320,0.4055,0.0195,0.837
3.638319477,0.7251,0.3953,0.0136,0.826
3.641136821,0.7193,0.3822,0.0009,0.814
3.644060936,0.7153,0.3851,0.0004,0.812
3.646523332,0.7149,0.3783,-0.0054,0.809
3.649274635,0.7129,0.3725,-0.0093,0.804
3.651777395,0.7105,0.3671,-0.0108,0.800
3.654513646,0.7193,0.3618,-0.0122,0.805
3.656067344,0.7246,0.3608,-0.0142,0.810
3.658494063,0.7325,0.3725,-0.0220,0.822
3.661242136,0.7530,0.3894,-0.0147,0.848
3.664240626,0.7520,0.3885,0.0053,0.846
3.666252761,0.7593,0.3958,0.0107,0.856
3.668753022,0.7652,0.3987,-0.0015,0.863
3.671496668,0.7696,0.4026,-0.0001,0.869
3.674524064,0.7769,0.4176,0.0024,0.882
3.676210367,0.7721,0.4235,0.0058,0.881
3.678785002,0.7706,0.4278,0.0058,0.881
3.681604117,0.7613,0.4308,-0.0025,0.875
3.68454943,0.7105,0.4278,0.0458,0.831
3.687396149,0.5730,0.4147,0.1961,0.734
3.689494274,0.4405,0.4011,0.2996,0.667
3.692171201,0.6723,0.4206,-0.1440,0.806
3.694552556,0.7408,0.4390,-0.2660,0.901
