time,Azimuth:,Pitch:,Roll:
0.036351,-173.612,-50.984,176.368
0.036498,-173.612,-50.984,176.368
0.153959,-173.622,-50.984,176.368
0.239295,-173.434,-51.323,176.674
0.239544,-173.434,-51.323,176.674
0.353648,-173.073,-51.323,176.674
0.442135,-173.288,-50.876,176.328
0.442404,-173.288,-50.876,176.328
0.553323,-173.393,-50.876,176.328
0.644631,-173.519,-50.812,176.110
0.644870,-173.519,-50.812,176.110
0.752784,-173.619,-50.812,176.110
0.846975,-173.559,-50.603,176.230
0.847190,-173.559,-50.603,176.230
0.952583,-173.909,-50.603,176.230
1.049059,-174.299,-50.042,175.570
1.049293,-174.299,-50.042,175.570
1.151944,-174.486,-50.042,175.570
1.251675,-174.819,-49.995,174.979
1.251882,-174.819,-49.995,174.979
1.352003,-175.370,-49.995,174.979
1.453825,-175.236,-50.429,175.198
1.454036,-175.236,-50.429,175.198
1.553266,-175.629,-50.429,175.198
1.657954,-175.629,-50.429,175.198
1.658875,-175.741,-50.694,174.986
1.752499,-176.025,-50.694,174.986
1.860618,-176.600,-50.917,173.961
1.861024,-176.600,-50.917,173.961
1.951751,-177.124,-50.917,173.961
2.062722,-177.415,-51.535,173.437
2.063236,-177.415,-51.535,173.437
2.151244,-177.562,-51.535,173.437
2.264887,-177.717,-52.097,173.157
2.265273,-177.717,-52.097,173.157
2.351048,-177.899,-52.097,173.157
2.467311,-177.899,-52.097,173.157
2.468286,-178.243,-52.413,172.562
2.550674,-178.512,-52.413,172.562
2.671848,-178.512,-52.413,172.562
2.672982,-178.609,-52.484,172.395
2.751443,-179.083,-52.484,172.395
2.871101,-179.220,-52.938,172.158
2.871481,-179.220,-52.938,172.158
2.950152,-179.034,-52.938,172.158
3.076232,-178.894,-53.228,172.391
3.076705,-178.894,-53.228,172.391
3.151378,-178.893,-53.228,172.391
3.277145,-178.893,-53.228,172.391
3.278068,-178.914,-54.014,172.348
3.351406,-178.932,-54.014,172.348
3.480068,-178.932,-54.014,172.348
3.481055,-179.072,-54.526,172.112
3.548799,-179.301,-54.526,172.112
3.682624,-179.301,-54.526,172.112
3.683902,-179.254,-54.545,172.190
3.749267,-179.180,-54.545,172.190
3.885362,-179.180,-54.545,172.190
3.886642,-179.089,-55.608,172.328
3.948631,-179.406,-55.608,172.328
4.087787,-179.438,-56.335,172.272
4.088221,-179.438,-56.335,172.272
4.147034,-179.374,-56.335,172.272
4.290418,-179.477,-56.893,172.107
4.290875,-179.477,-56.893,172.107
4.346825,-179.769,-56.893,172.107
4.492388,-179.769,-56.893,172.107
4.493561,-179.820,-57.123,172.027
4.547368,-179.858,-57.123,172.027
4.693897,-179.858,-57.123,172.027
4.695051,-179.851,-57.314,172.037
4.747242,-179.802,-57.314,172.037
4.896353,-179.802,-57.314,172.037
4.897427,179.988,-57.549,171.711
4.945738,179.792,-57.549,171.711
5.099676,179.715,-57.638,171.592
5.100083,179.715,-57.638,171.592
5.146134,179.582,-57.638,171.592
5.302062,179.406,-58.289,171.326
5.302500,179.406,-58.289,171.326
5.345319,179.284,-58.289,171.326
5.503823,179.284,-58.289,171.326
5.504857,179.079,-58.416,171.015
5.546348,178.858,-58.416,171.015
5.706225,178.858,-58.416,171.015
5.707481,179.048,-59.017,171.309
5.744259,179.382,-59.017,171.309
5.908495,179.382,-59.017,171.309
5.909590,179.396,-59.226,171.332
5.944178,179.354,-59.226,171.332
6.111875,178.892,-59.699,170.645
6.112315,178.892,-59.699,170.645
6.143204,178.531,-59.699,170.645
6.313983,178.531,-59.699,170.645
6.314972,178.317,-60.150,170.333
6.343461,178.277,-60.150,170.333
6.514938,178.273,-60.216,170.329
6.515275,178.273,-60.216,170.329
6.543925,178.770,-60.216,170.329
6.717463,178.676,-60.586,170.194
6.717875,178.676,-60.586,170.194
6.743479,178.231,-60.586,170.194
